Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Number of Investments,Number of Diversity Investments,Number of Exits,Founders,Number of Employees,Funding Status,Last Funding Date,Last Funding Type,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Last Leadership Hiring Date,Last Layoff Mention Date,Contact Job Departments,Number of Contacts
DiA Imaging Analysis,https://www.crunchbase.com/organization/diacardio,"Artificial Intelligence (AI), Health Care, Medical, Software","Be'er Sheva, HaDarom, Israel",DiA Imaging Analysis provides advanced AI-based ultrasound analysis smarter and accessible.,,2009-01-01,year,,,,"Arnon Toussia Cohen, Hila Goldman-Aslan, Michal Yaacobi, Noah Liel Cohen",11-50,M&A,2021-08-24,Venture - Series Unknown,DiA Imaging Analysis acquired by Philips,https://www.crunchbase.com/acquisition/philips-e7a7-acquires-diacardio--30082f60,Philips,https://www.crunchbase.com/organization/philips-e7a7,2023-05-07,day,,,,Private,,,,,,"Engineering, Operations, Sales",8
AI Medical Service,https://www.crunchbase.com/organization/ai-medical-service,"Artificial Intelligence (AI), Health Care, Medical, Nursing and Residential Care","Toshima, Tokyo, Japan",AI Medical Service is a Tokyo-based company developing AI software to help detect gastric cancer.,,2017-09-01,month,,,,"Tomohiro Tada, Yamauchi Yoshiyuki",51-100,Late Stage Venture,2022-04-26,Series C,,,,,,,,,,Private,,,,,,,2
aetherAI,https://www.crunchbase.com/organization/aetherai,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device, Software","Taipei, T'ai-pei, Taiwan",aetherAI is a medical image AI company that focuses on improving digital pathology.,,2015-10-07,day,,,,"Billy Kan, Joe Yeh, Steve Yeh",51-100,Early Stage Venture,2020-06-11,Series A,,,,,,,,,,Private,,,,,,"Management, Operations",2
Bluesignum,https://www.crunchbase.com/organization/bluesignum,"Artificial Intelligence (AI), Health Care, Mental Health","Seoul, Seoul-t'ukpyolsi, South Korea",Bluesignum develops a digital mental health guide to help people self-manage their mental health.,,2019-11-05,day,,,,Jeonghyun Yoon,11-50,Seed,2023-05-15,Seed,,,,,,,,,,Private,,,,,,,
Cardiotrack,https://www.crunchbase.com/organization/uber-diagnostics,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, mHealth","Bangalore, Karnataka, India",Cardiotrack is an AI based diagnostics company that is improving heart health outcomes through early diagnosis,,2014-02-14,day,,,,"Ashim Roy, Avin Agarwal",11-50,Seed,2024-03-04,Seed,,,,,,,,,,Private,,,,,,"Management, Operations",2
Fairtility,https://www.crunchbase.com/organization/fairtility,"Artificial Intelligence (AI), Health Care, Machine Learning","Tel Aviv, Tel Aviv, Israel",Fairtility develops solutions that use AI & big data to significantly increase the efficiency of IVF.,,2019-01-01,year,,,,"Assaf Ben-Meir, Eran Eshed, Itay Erlich, Moti Shniberg",11-50,Early Stage Venture,2022-05-23,Series A,,,,,,,,,,Private,,,,,,"Engineering, Human Resources",5
Deepwise,https://www.crunchbase.com/organization/deepwise,"Artificial Intelligence (AI), Health Care","Beijing, Beijing, China",Deepwise is an artificial intelligence technology-based clinical imaging services provider.,,2017-01-01,year,,,,"Ming Lei, Xin Qiao, Yiming Li, Yizhou Yu",251-500,Late Stage Venture,2019-06-10,Series C,,,,,,,,,,Private,,,,,,Engineering,1
AI Silk,https://www.crunchbase.com/organization/ai-silk,"Artificial Intelligence (AI), Fashion, Health Care, Medical, Nursing and Residential Care, Software","Sendai-shi, Miyagi, Japan",AI Silk are innovative conductive fibers produced with a dyeing technique.,,2015-06-01,day,,,,Hideo Okano,11-50,Early Stage Venture,2023-05-15,Series B,,,,,,,,,,Private,,,,,,,
KeyReply,https://www.crunchbase.com/organization/keyreply,"Artificial Intelligence (AI), Enterprise Software, Health Care, Virtual Assistant","Singapore, Central Region, Singapore",KeyReply is an AI powered patient engagement platform for healthcare providers,,2014-01-01,year,,,,"Carylyne Chan, Max Xu, Peiru Teo, Spencer Yang",11-50,Seed,2019-06-01,Seed,,,,,,,,,,Private,,,,,,"Engineering, Human Resources, Operations",7
Aidoc,https://www.crunchbase.com/organization/aidoc,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device","Tel Aviv, Tel Aviv, Israel",Aidoc specializes in developing artificial intelligence tools for radiologists and multidisciplinary response teams.,,2016-02-01,day,,,,"Elad Walach, Gal Yaniv, Guy Reiner, Michael Braginsky",251-500,,2023-11-27,Venture - Series Unknown,,,,,,,,,,Private,,,,2021-05-23,,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical & Science, Operations, Sales, Support",164
EyeControl,https://www.crunchbase.com/organization/eyecontrol,"Artificial Intelligence (AI), Assistive Technology, Health Care, Hospital, Medical, Medical Device","Tel Aviv, Tel Aviv, Israel","Eye-tracking wearable & smart platforms empowering connectivity between patients with communication difficulties, families and medical teams",,2016-01-01,month,,,,"Itai Kornberg, Or Retzkin, Shay Rishoni",11-50,,2023-09-15,Venture - Series Unknown,,,,,,,,,,Private,,,,,,"Engineering, Management, Operations",4
Insilico Medicine,https://www.crunchbase.com/organization/insilico-medicine,"Artificial Intelligence (AI), Biotechnology, Health Care, Pharmaceutical","Hong Kong, Hong Kong Island, Hong Kong",Insilico Medicine develops an AI platform for drug development to treat cancer and age-related diseases.,,2014-01-01,month,,,,Alex Zhavoronkov,101-250,Late Stage Venture,2022-08-10,Series D,,,,,,,,,,Private,,,,2023-05-15,,"Engineering, Human Resources, Information Technology, Management, Operations",30
RESET Tech,https://www.crunchbase.com/organization/k-l-wellness-technology,"Artificial Intelligence (AI), Health Care, Personal Health, Wellness","Bandra, Maharashtra, India",RESET Tech is an AI-powered health tech startup that offers therapeutic health solutions for lifestyle diseases.,,2021-01-01,year,,,,"Karan Talreja, Vamsi Talasila",11-50,Seed,2021-11-17,Seed,,,,,,,,,,Private,,,,,,"Engineering, Management",3
Medorion,https://www.crunchbase.com/organization/medorion,"Artificial Intelligence (AI), Health Care, SaaS, Software","Tel Aviv, Tel Aviv, Israel","Member-intelligence SaaS solution that helps Health Plans understand, predict and influence their members' behavior",,2017-01-01,month,,,,"Asaf Kleinbort, Eviatar Khen, Shai Levi",11-50,,2021-07-07,Venture - Series Unknown,,,,,,,,,,Private,,,,,,Operations,7
lululab,https://www.crunchbase.com/organization/lululab,"Apps, Artificial Intelligence (AI), Computer, Health Care, iOS, Machine Learning, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Lumini is a personalized AI skin assistant that analyzes the user’s skin and recommends the best products and services for each user.,,2017-05-02,day,,,,Yongjoon Choe,11-50,Late Stage Venture,2022-07-13,Series C,,,,,,,,,,Private,,,,,,,
AITRICS,https://www.crunchbase.com/organization/aitrics,"Analytics, Artificial Intelligence (AI), Health Care, Information Technology, Software","Seocho, Seoul-t'ukpyolsi, South Korea",AITRICS is taking on the ultimate role of giving everyone access to the power of data-driven health intelligence.,,2016-11-03,day,,,,,11-50,Early Stage Venture,2020-01-21,Series A,,,,,,,,,,Private,,,,,,,
MobileODT,https://www.crunchbase.com/organization/mobileoct,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Medical Device","Tel Aviv, Tel Aviv, Israel",MobileODT is an AI-based health-tech company that develops medical device technologies for cervical cancer screening.,,2012-10-01,day,,,,"Ariel Beery, David Levitz",11-50,Late Stage Venture,2020-08-12,Series C,,,,,,,,,,Private,,,,,,Sales,4
Multiplier AI Solutions,https://www.crunchbase.com/organization/multiplier-solutions,"Advertising, Artificial Intelligence (AI), Business Intelligence, Health Care, Hospital","Hyderabad, Andhra Pradesh, India","Multiplier is a Healthcare Marketing Agency, its AI powered Digital Marketing Suite is used across leading Healthcare Brands of the Country.",,2011-01-01,year,,,,"Saumya Prakash, Vikram Kumar",51-100,Seed,2017-06-08,Seed,,,,,,,,,,Private,,,,,,Human Resources,3
Firefly Neuroscience,https://www.crunchbase.com/organization/firefly-neuroscience,"Artificial Intelligence (AI), Big Data, Health Diagnostics, Medical","Herzliya, Tel Aviv, Israel","Firefly Neuroscience utilizes big data, signal processing, and AI to provide clinicians with quantitative and object measurements.",,2006-01-01,year,,,,,11-50,M&A,2023-06-22,Seed,Firefly Neuroscience acquired by WaveDancer,https://www.crunchbase.com/acquisition/information-analysis-incorporated-acquires-firefly-neuroscience--c731c549,WaveDancer,https://www.crunchbase.com/organization/information-analysis-incorporated,2023-11-16,day,,,,Private,,,,,,"Operations, Sales",3
Medmain,https://www.crunchbase.com/organization/medmain-inc,"Artificial Intelligence (AI), Health Care, Information Technology, Internet of Things, Medical, Nursing and Residential Care, Software, Task Management","Fukuoka, Fukuoka, Japan","To create a world where medical services can be accessed with technology anywhere, anytime",,2018-01-01,month,,,,Osamu Iizuka,11-50,Early Stage Venture,2023-08-31,Non-equity Assistance,,,,,,,,,,Private,,,,,,,
Medasense,https://www.crunchbase.com/organization/medasense-biometrics-ltd--2,"Artificial Intelligence (AI), Biometrics, Health Care, Medical, Medical Device, Sensor","Ramat Gan, Tel Aviv, Israel",Medasense offers a breakthrough technology that enables clinicians to optimize and personalize pain control and avoid overmedication.,,2008-01-01,year,,,,Galit Zuckerman,11-50,Late Stage Venture,2020-09-22,Series C,,,,,,,,,,Private,,,,,,"Operations, Product",5
Craif,https://www.crunchbase.com/organization/craif,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Oncology","Hongo, Tokyo, Japan",Craif develops a cancer diagnosis algorithm by combining the microRNA database with machine learning technology.,,2018-05-22,day,,,,"Onose Ryuichi, Takeshita Daiki",11-50,Early Stage Venture,2022-04-22,Series B,,,,,,,,,,Private,,,,,,,
Beyond Verbal,https://www.crunchbase.com/organization/beyond-verbal,"Analytics, Artificial Intelligence (AI), Big Data, Call Center, Cloud Computing, Health Care, Internet of Things, Machine Learning, Market Research, Medical, Mobile, Personal Health, Wellness","Tel Aviv, Tel Aviv, Israel","Beyond Verbal uses Voice and AI to revolutionize Healthcare, Well-being and Emotional Understanding.",,2012-04-02,day,,,,"Yoav Hoshen, Yoram Levanon, Yuval Mor",11-50,M&A,2016-09-01,Series A,Beyond Verbal acquired by Vocalis Health,https://www.crunchbase.com/acquisition/vocalis-health-c243-acquires-beyond-verbal--96c06aa6,Vocalis Health,https://www.crunchbase.com/organization/vocalis-health-c243,2019-12-12,day,,,,Private,,,,,,,
Olivex,https://www.crunchbase.com/organization/olivex,"Artificial Intelligence (AI), Fitness, Health Care, mHealth, Software","Hong Kong, Hong Kong Island, Hong Kong",Olivex is a health care app that provides artificial intelligence and gamification to improve users’ health and fitness.,,2017-01-01,year,1,,,Keith Rumjahn,11-50,IPO,2021-11-22,Post-IPO Equity,,,,,,,,,,Public,2020-08-24,,,,,,
Nutrino,https://www.crunchbase.com/organization/nutrino,"Artificial Intelligence (AI), Developer APIs, Diabetes, Health Care, Internet, mHealth, Nutrition, Software, Wellness","Tel Aviv, Tel Aviv, Israel","Nutrino is a big data, personalized nutrition platform that offers  nutritional values and data through wearables and other technologies.",,2011-07-01,day,,,,"Eduard Ros, Jonathan Lipnik, José Luis Martín de Bustamante, Yaron Hadad",11-50,M&A,2018-04-10,Series A,Nutrino acquired by Medtronic,https://www.crunchbase.com/acquisition/medtronic-acquires-nutrino--a985c8ab,Medtronic,https://www.crunchbase.com/organization/medtronic,2018-11-21,day,,,,Private,,,,,,"Marketing, Operations",3
Cardio Intelligence,https://www.crunchbase.com/organization/cardio-intelligence,"Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning, Nursing and Residential Care","Tokyo, Tokyo, Japan",Cardio Intelligence develops an AI automated diagnostic system.,,2019-10-01,day,,,,Yuichi Tamura,1-10,Seed,2021-03-01,Seed,,,,,,,,,,Private,,,,,,,
Sency.,https://www.crunchbase.com/organization/fitv-ai,"Artificial Intelligence (AI), Computer Vision, Fitness, Health Care, Machine Learning, Real Time, Wellness","Tel Aviv, Tel Aviv, Israel","By understanding human movement, Sency drives millions to live an active, balanced and healthy life",,2019-03-14,day,,,,"Gal Rotman, Neta Osman, Ofer Goldstein",11-50,Seed,2022-04-25,Seed,,,,,,,,,,Private,,,,,,,
MICA,https://www.crunchbase.com/organization/mica-544c,"Artificial Intelligence (AI), Clinical Trials, Health Diagnostics, Medical Device","Tel Aviv, Tel Aviv, Israel",MICA is a medical artificial intelligence support system that assists radiologists in mammography image comparison and analysis.,,2018-01-01,year,,,,Lior Wayn,1-10,Seed,2023-02-02,Seed,,,,,,,,,,Private,,,,,,"Engineering, Information Technology, Operations",35
Kaipharm,https://www.crunchbase.com/organization/kaipharm,"Artificial Intelligence (AI), Biotechnology, Health Care, Therapeutics","Seoul, Seoul-t'ukpyolsi, South Korea",KaiPharm is an AI-driven drug discovery company with proprietary virtual drug-screening technology and drug-induced transcriptome data.,,2018-01-01,year,,,,Wankyu Kim,1-10,Early Stage Venture,2020-01-29,Series A,,,,,,,,,,Private,,,,,,,
Illumigyn,https://www.crunchbase.com/organization/illumigyn,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device, Product Design","Neve Ilan, Yerushalayim, Israel",Illumigyn incorporates existing machine vision technologies into a compact imaging colposcope for medical applications.,,2012-12-01,day,,,,"Lior Greenstein, Ran Poliakine",11-50,,2021-11-03,Venture - Series Unknown,,,,,,,,,,Private,,,,,,Engineering,2
Wysa,https://www.crunchbase.com/organization/touchkin-eservices,"Artificial Intelligence (AI), Health Care, Mental Health, mHealth, Software, Wellness","Bangalore, Karnataka, India",Wysa is a mental health wellness platform that helps individuals in managing their mental and emotional stress.,,2015-01-01,year,,,,"Jo Aggarwal, Ramakant Vempati",101-250,Early Stage Venture,2023-05-22,Grant,,,,,,,,,,Private,,,,,,"Engineering, Finance, Human Resources, Information Technology, Management, Operations, Pro Services, Product, Sales",39
Benovymed Healthcare,https://www.crunchbase.com/organization/benovymed-healthcare,"Artificial Intelligence (AI), Blockchain, Cloud Computing, Health Care, Information Technology, Machine Learning, mHealth, Mobile, Mobile Apps, Robotics","Delhi, Delhi, India","Benovymed Healthcare is World's Top 20 & India's No:1 Most Impactful DeepTech Startup in Digital Health, AI Health & Telemedicine Innovation",,2017-11-01,month,,,,"Dr P Bst, Dr S Ba, Mahendra Singh, Sa Si",11-50,Seed,2022-01-05,Seed,,,,,,,,,,Private,,,,,,,
NeoX Biotech,https://www.crunchbase.com/organization/neox-biotech,"Artificial Intelligence (AI), Biotechnology, Health Care, Product Research","Beijing, Beijing, China",NeoX Biotech is a pharmaceutical company engaged in early-stage drug developmentbased on AI and computational biophysical technology.,,2018-01-01,year,,,,Michael Chen,11-50,,2021-07-08,Venture - Series Unknown,,,,,,,,,,Private,,,,,,,1
Weimai,https://www.crunchbase.com/organization/weimai,"Artificial Intelligence (AI), Big Data, Health Care, Mobile Apps","Yuhang, Zhejiang, China",Weimai uses big data and artificial intelligence to digitize their healthcare service platform.,,2013-01-01,year,,,,Qiu Jia Lin,251-500,Late Stage Venture,2020-12-15,Series C,,,,,,,,,,Private,,,,,,,
DeepMetrics,https://www.crunchbase.com/organization/deepmetrics,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device","Seoul, Seoul-t'ukpyolsi, South Korea",DeepMetrics is an AI driven ICU automation platform company,,2020-01-01,year,,,,Hyun Oh Song,11-50,Seed,2021-07-20,Seed,,,,,,,,,,Private,,,,,,,
Sova Health,https://www.crunchbase.com/organization/sova-health,"Artificial Intelligence (AI), Health Care, Machine Learning, Nutrition, Retail, Software, Wellness","Singapore, Central Region, Singapore",Sova Health is a precision nutrition platform providing evidence backed personalised nutrition based on AI driven blood biomarker analysis.,,2019-10-01,month,,,,"Max Kushnir, Rahul Tiwari, Tanveer Singh",11-50,Seed,2023-06-08,Pre-Seed,,,,,,,,,,Private,,,,,,Operations,3
